video_name,total_frames,neutral_frames,neutral_ratio,ear_baseline,ear_threshold,distraction_frame_events,distraction_poly_events,distraction_reduction,roll_frame_events,roll_poly_events,roll_reduction,drowsiness_frame_events,drowsiness_poly_events,drowsiness_reduction
1-FemaleNoGlasses,2741,954,0.34804815760671287,0.289798516531127,0.1738791099186762,0,0,0.0,0,0,0.0,38,0,100.0
1-MaleGlasses,2576,610,0.23680124223602483,0.22443837010415754,0.13466302206249453,0,0,0.0,0,0,0.0,13,0,100.0
10-MaleGlasses,2418,412,0.17038875103391232,0.29961902079304065,0.17977141247582437,46,3,93.47826086956522,10,0,100.0,30,0,100.0
11-FemaleGlasses.avi,1683,370,0.21984551396316102,0.2755507568796485,0.16533045412778907,33,0,100.0,9,0,100.0,0,0,0.0
12-FemaleGlasses.avi,2514,827,0.32895783611774065,0.26251618782924424,0.15750971269754654,24,0,100.0,25,0,100.0,29,0,100.0
13-FemaleGlasses.avi,2488,314,0.12620578778135047,0.27516077507016834,0.165096465042101,10,0,100.0,7,0,100.0,66,0,100.0
13-MaleNoGlasses ,2190,1076,0.491324200913242,0.2909309639598008,0.17455857837588046,19,4,78.94736842105263,23,0,100.0,28,1,96.42857142857143
14-MaleNoGlasses,3010,534,0.17740863787375416,0.2956444431328934,0.17738666587973603,36,7,80.55555555555556,33,0,100.0,84,0,100.0
16-MaleNoGlasses,2503,498,0.19896124650419497,0.2780098032012049,0.16680588192072293,56,8,85.71428571428571,75,0,100.0,29,0,100.0
2-FemaleNoGlasses,2180,359,0.1646788990825688,0.35497961490485586,0.21298776894291352,8,0,100.0,4,0,100.0,34,0,100.0
2-MaleGlasses,2364,1075,0.4547377326565144,0.2557645480899791,0.15345872885398745,26,0,100.0,38,0,100.0,41,2,95.1219512195122
3-FemaleGlasses,3057,700,0.2289826627412496,0.3311532540810464,0.19869195244862783,27,0,100.0,6,0,100.0,90,0,100.0
3-MaleGlasses,2086,564,0.27037392138063276,0.2833638857760524,0.17001833146563144,13,3,76.92307692307693,13,0,100.0,43,0,100.0
4-MaleNoGlasses,1998,746,0.3733733733733734,0.2412303100545609,0.14473818603273653,31,2,93.54838709677419,13,2,84.61538461538461,53,0,100.0
5-FemaleNoGlasses,2149,587,0.2731503024662634,0.25100818196923735,0.1506049091815424,11,0,100.0,3,0,100.0,54,0,100.0
6-FemaleNoGlasses,1477,245,0.16587677725118483,0.24260464070733434,0.1455627844244006,18,2,88.88888888888889,9,0,100.0,36,0,100.0
6-MaleGlasses,1633,665,0.40722596448254744,0.28997563850599595,0.17398538310359757,20,1,95.0,7,0,100.0,10,0,100.0
7-FemaleNoGlasses,3618,1384,0.3825317855168601,0.28291408904688403,0.1697484534281304,0,0,0.0,0,0,0.0,111,3,97.2972972972973
7-MaleGlasses,2398,892,0.371976647206005,0.2698428929175685,0.1619057357505411,1,0,100.0,0,0,0.0,37,1,97.2972972972973
8-FemaleGlasses.avi,2297,853,0.3713539399216369,0.28239207081252826,0.16943524248751696,18,0,100.0,3,0,100.0,43,4,90.69767441860465
8-MaleNoGlasses,2174,586,0.26954921803127874,0.2669482195470144,0.16016893172820865,33,3,90.9090909090909,28,0,100.0,48,1,97.91666666666666
9-FemaleNoGlasses,1532,470,0.30678851174934724,0.34643704293087857,0.20786222575852714,14,0,100.0,6,0,100.0,28,0,100.0
