video_name,total_frames,neutral_frames,neutral_ratio,mar_baseline,mar_threshold,nose_chin_baseline,nose_chin_threshold,ear_baseline,ear_threshold,frame_yawn_cadrs,poly_yawn_cadrs,frame_yawn_events,poly_yawn_events,false_events,reduction_pct
12-FemaleGlasses.avi,2514,827,0.32895783611774065,0.06759217674184953,0.49071920314582756,0.8567922147045267,1.1823732562922469,0.26251618782924424,0.15750971269754654,24,0,4,0,4,100.0
13-FemaleGlasses.avi,2488,314,0.12620578778135047,0.06889049949361761,0.5001450263236639,0.8101989035917923,1.1180744869566732,0.27516077507016834,0.165096465042101,6,0,1,0,1,100.0
16-MaleNoGlasses,2503,498,0.19896124650419497,0.05602394275762923,0.4067338244203882,1.0810916523202985,1.4919064802020117,0.2780098032012049,0.16680588192072293,5,0,3,0,3,100.0
14-MaleNoGlasses,3010,534,0.17740863787375416,0.059697871889491216,0.4334065499177062,1.0236061741076852,1.4125765202686054,0.2956444431328934,0.17738666587973603,81,43,9,2,7,77.77777777777779
6-FemaleNoGlasses,1477,245,0.16587677725118483,0.07607351276910161,0.5522937027036777,0.8238589971215413,1.136925416027727,0.24260464070733434,0.1455627844244006,21,3,4,1,3,75.0
3-MaleGlasses,2086,564,0.27037392138063276,0.07011873654056563,0.5090620272845064,0.8438755698510549,1.1645482863944556,0.2833638857760524,0.17001833146563144,35,9,4,1,3,75.0
6-MaleGlasses,1633,665,0.40722596448254744,0.06502429437786501,0.4720763771833,0.8597439745977914,1.186446684944952,0.28997563850599595,0.17398538310359757,40,11,4,1,3,75.0
3-FemaleGlasses,3057,700,0.2289826627412496,0.0723026027670049,0.5249168960884555,0.8728853372991043,1.204581765472764,0.3311532540810464,0.19869195244862783,219,136,13,5,8,61.53846153846154
4-MaleNoGlasses,1998,746,0.3733733733733734,0.0730747276360057,0.5305225226374014,0.7704369980976096,1.063203057374701,0.2412303100545609,0.14473818603273653,61,28,4,2,2,50.0
1-FemaleNoGlasses,2741,954,0.34804815760671287,0.06953436632410193,0.50481949951298,0.7524488663132219,1.0383794355122462,0.289798516531127,0.1738791099186762,21,4,2,1,1,50.0
9-FemaleNoGlasses,1532,470,0.30678851174934724,0.07022365251451942,0.509823717255411,0.8407106386391563,1.1601806813220357,0.34643704293087857,0.20786222575852714,24,4,2,1,1,50.0
13-MaleNoGlasses ,2190,1076,0.491324200913242,0.06769929998695631,0.4914969179053028,0.7803019073891468,1.0768166321970225,0.2909309639598008,0.17455857837588046,85,54,3,2,1,33.33333333333333
8-FemaleGlasses.avi,2297,853,0.3713539399216369,0.07163896832526073,0.5200989100413929,0.8249124984185036,1.1383792478175347,0.28239207081252826,0.16943524248751696,211,147,5,4,1,20.0
1-MaleGlasses,2576,610,0.23680124223602483,0.07547709559923128,0.5479637140504191,0.9110434566371093,1.2572399701592107,0.22443837010415754,0.13466302206249453,239,197,3,3,0,0.0
10-MaleGlasses,2418,412,0.17038875103391232,0.07151634520239987,0.5192086661694231,0.9694001453096874,1.3377722005273684,0.29961902079304065,0.17977141247582437,0,0,0,0,0,0.0
11-FemaleGlasses.avi,1683,370,0.21984551396316102,0.07041788428260301,0.5112338398916978,0.9164527877932765,1.2647048471547215,0.2755507568796485,0.16533045412778907,0,0,0,0,0,0.0
2-MaleGlasses,2364,1075,0.4547377326565144,0.07628488600963933,0.5538282724299814,0.9221507514175032,1.2725680369561543,0.2557645480899791,0.15345872885398745,0,0,0,0,0,0.0
2-FemaleNoGlasses,2180,359,0.1646788990825688,0.07062427521685695,0.5127322380743814,0.8657333564538114,1.1947120319062596,0.35497961490485586,0.21298776894291352,86,58,2,2,0,0.0
7-FemaleNoGlasses,3618,1384,0.3825317855168601,0.07490115172171974,0.5437823614996853,0.812486506577039,1.1212313790763138,0.28291408904688403,0.1697484534281304,0,0,0,0,0,0.0
5-FemaleNoGlasses,2149,587,0.2731503024662634,0.07305077259751006,0.530348609057923,0.8907985264868717,1.229301966551883,0.25100818196923735,0.1506049091815424,0,0,0,0,0,0.0
7-MaleGlasses,2398,892,0.371976647206005,0.07293754800101862,0.5295265984873951,1.0159959240334646,1.402074375166181,0.2698428929175685,0.1619057357505411,0,0,0,0,0,0.0
8-MaleNoGlasses,2174,586,0.26954921803127874,0.07819897147008043,0.5677245328727839,1.03590930941622,1.4295548469943835,0.2669482195470144,0.16016893172820865,0,0,0,0,0,0.0
